"subject_id","trial_number","categorical_condition"
9,4,"Simple"
9,5,"Simple"
9,6,"Complex"
9,7,"Complex"
9,8,"Simple"
9,9,"Complex"
9,10,"Complex"
9,11,"Simple"
9,12,"Complex"
9,13,"Simple"
9,14,"Simple"
9,15,"Complex"
9,16,"Simple"
9,17,"Complex"
9,18,"Complex"
9,19,"Simple"
9,20,"Simple"
10,1,"Simple"
10,2,"Simple"
10,3,"Complex"
10,4,"Simple"
10,5,"Complex"
10,6,"Simple"
10,7,"Simple"
10,8,"Complex"
10,9,"Complex"
10,10,"Simple"
10,11,"Complex"
10,12,"Simple"
10,13,"Simple"
10,14,"Simple"
10,15,"Complex"
10,16,"Simple"
10,17,"Complex"
10,18,"Complex"
10,19,"Complex"
10,20,"Simple"
11,1,"Complex"
11,2,"Complex"
11,3,"Simple"
11,4,"Simple"
11,5,"Complex"
11,6,"Complex"
11,7,"Simple"
11,8,"Complex"
11,9,"Complex"
11,10,"Simple"
11,11,"Complex"
11,12,"Complex"
11,13,"Simple"
11,14,"Complex"
11,15,"Complex"
11,16,"Complex"
11,17,"Simple"
11,18,"Simple"
11,19,"Complex"
11,20,"Simple"
12,1,"Simple"
12,2,"Simple"
12,3,"Complex"
12,4,"Simple"
12,5,"Simple"
12,6,"Complex"
12,7,"Simple"
12,8,"Complex"
12,9,"Complex"
12,10,"Complex"
12,11,"Simple"
12,12,"Simple"
12,13,"Simple"
12,14,"Complex"
12,15,"Complex"
12,16,"Simple"
12,17,"Simple"
12,18,"Complex"
12,19,"Complex"
12,20,"Simple"
13,1,"Simple"
13,2,"Complex"
13,3,"Complex"
13,4,"Complex"
13,5,"Simple"
13,6,"Complex"
13,7,"Complex"
13,8,"Simple"
13,9,"Simple"
13,10,"Simple"
13,11,"Complex"
13,12,"Simple"
13,13,"Simple"
13,14,"Complex"
13,15,"Complex"
13,16,"Complex"
13,17,"Simple"
13,18,"Simple"
13,19,"Complex"
13,20,"Complex"
14,1,"Simple"
14,2,"Complex"
14,3,"Simple"
14,4,"Complex"
14,5,"Complex"
14,6,"Simple"
14,7,"Complex"
14,8,"Simple"
14,9,"Complex"
14,10,"Simple"
14,11,"Complex"
14,12,"Complex"
14,13,"Complex"
14,14,"Simple"
14,15,"Simple"
14,16,"Complex"
14,17,"Complex"
14,18,"Simple"
14,19,"Complex"
14,20,"Simple"
15,1,"Complex"
15,2,"Complex"
15,3,"Simple"
15,4,"Simple"
15,5,"Complex"
15,6,"Simple"
15,7,"Simple"
15,8,"Simple"
15,9,"Complex"
15,10,"Complex"
15,11,"Complex"
15,12,"Simple"
15,13,"Simple"
15,14,"Complex"
15,15,"Complex"
15,16,"Simple"
15,17,"Complex"
15,18,"Simple"
15,19,"Complex"
15,20,"Simple"
16,1,"Simple"
16,2,"Complex"
16,3,"Simple"
16,4,"Simple"
16,5,"Complex"
16,6,"Complex"
16,7,"Simple"
16,8,"Simple"
16,9,"Simple"
16,10,"Complex"
16,11,"Complex"
16,12,"Simple"
16,13,"Complex"
16,14,"Complex"
16,15,"Simple"
16,16,"Complex"
16,17,"Complex"
16,18,"Simple"
16,19,"Complex"
16,20,"Complex"
17,1,"Complex"
17,2,"Complex"
17,3,"Simple"
17,4,"Complex"
17,5,"Simple"
17,6,"Simple"
17,7,"Complex"
17,8,"Complex"
17,9,"Simple"
17,10,"Complex"
17,11,"Complex"
17,12,"Simple"
17,13,"Complex"
17,14,"Complex"
17,15,"Simple"
17,16,"Simple"
17,17,"Simple"
17,18,"Complex"
17,19,"Complex"
17,20,"Complex"
18,1,"Simple"
18,2,"Complex"
18,3,"Simple"
18,4,"Complex"
18,5,"Complex"
18,6,"Simple"
18,7,"Simple"
18,8,"Complex"
18,9,"Complex"
18,10,"Complex"
18,11,"Simple"
18,12,"Complex"
18,13,"Simple"
18,14,"Complex"
18,15,"Simple"
18,16,"Complex"
18,17,"Simple"
18,18,"Simple"
18,19,"Simple"
18,20,"Complex"
19,1,"Complex"
19,2,"Complex"
19,3,"Complex"
19,4,"Simple"
19,5,"Complex"
19,6,"Simple"
19,7,"Simple"
19,8,"Complex"
19,9,"Simple"
19,10,"Simple"
19,11,"Complex"
19,12,"Simple"
19,13,"Simple"
19,14,"Complex"
19,15,"Complex"
19,16,"Complex"
19,17,"Simple"
19,18,"Simple"
19,19,"Simple"
19,20,"Complex"
20,1,"Simple"
20,2,"Complex"
20,3,"Complex"
20,4,"Complex"
20,5,"Simple"
20,6,"Complex"
20,7,"Simple"
20,8,"Simple"
20,9,"Simple"
20,10,"Complex"
20,11,"Simple"
20,12,"Complex"
20,13,"Simple"
20,14,"Simple"
20,15,"Simple"
20,16,"Complex"
20,17,"Complex"
20,18,"Simple"
20,19,"Complex"
20,20,"Complex"
